"State","Year","mkt","measure","type","use","name","code","Value"
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","CYPRODINIL",288202,30300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","DIFENOCONAZOLE",128847,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","FENHEXAMID",90209,8600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","FLUDIOXONIL",71503,22400
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","FLUOPYRAM",80302,14600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","FLUXAPYROXAD",138009,7100
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","FOSETYL-AL",123301,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","ISOFETAMID",270000,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","MEFENOXAM",113502,7200
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","MONO-POTASSIUM SALT",76416,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","MYCLOBUTANIL",128857,10800
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","PENTHIOPYRAD",90112,4000
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","POLYOXIN D ZINC SALT",230000,3300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","PROPICONAZOLE",122101,2300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","PYDIFLUMETOFEN",90110,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","PYRACLOSTROBIN",99100,10600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","PYRIMETHANIL",288201,8300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","QUINOLINE",55459,3600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","SULFUR",77501,1258100
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","TETRACONAZOLE",120603,1300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","THIOPHANATE-METHYL",102001,10600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","THIRAM",79801,269500
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","TOTAL)",NA,2338800
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","TRIFLOXYSTROBIN",129112,14600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","TRIFLUMIZOLE",128879,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","HERBICIDE","CARFENTRAZONE-ETHYL",128712,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","HERBICIDE","FLUMIOXAZIN",129034,3900
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","HERBICIDE","OXYFLUORFEN",111601,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","HERBICIDE","PENDIMETHALIN",108501,71400
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","HERBICIDE","TOTAL)",NA,89700
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","ABAMECTIN",122804,300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","ACEQUINOCYL",6329,12800
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","ACETAMIPRID",99050,3300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","AZADIRACHTIN",121701,2800
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","BEAUVERIA BASSIANA",128924,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","BIFENAZATE",586,28700
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","BIFENTHRIN",128825,4600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","BT KURSTAK ABTS-1857",6523,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","BT KURSTAKI ABTS-351",6522,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","BT KURSTAKI SA-11",6519,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","CANOLA OIL",11332,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE",90100,2000
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",16329,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","CYANTRANILIPROLE",90098,1700
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","CYFLUMETOFEN",138831,7600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","ETOXAZOLE",107091,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","FENBUTATIN-OXIDE",104601,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","FENPROPATHRIN",127901,6600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","FENPYROXIMATE",129131,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","FLONICAMID",128016,6200
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","FLUPYRADIFURONE",122304,5000
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","HEXYTHIAZOX",128849,5400
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","IMIDACLOPRID",129099,3100
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","LAMBDA-CYHALOTHRIN",128897,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","MALATHION",57701,19400
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","METHOXYFENOZIDE",121027,7900
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","NALED",34401,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","NEEM OIL",25006,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","NEEM OIL, CLAR. HYD.",25007,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","NOVALURON",124002,5600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","PIPERONYL BUTOXIDE",67501,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","PYRETHRINS",69001,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","PYRIDABEN",129105,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","SPINETORAM",110007,3800
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","SPINOSAD",110003,2000
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","THIAMETHOXAM",60109,1300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","INSECTICIDE","TOTAL)",NA,231600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","ACIBENZOLAR-S-METHYL",61402,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","CAPSICUM OLEORESIN EXTRACT",70704,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","CHLOROPICRIN",81501,11299000
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","DICHLOROPROPENE",29001,1642600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","FLUTRIAFOL",128940,3900
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","GARLIC OIL",128827,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","HYDROGEN PEROXIDE",595,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","IRON PHOSPHATE",34903,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","METALDEHYDE",53001,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","METAM-POTASSIUM",39002,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","METAM-SODIUM",39003,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","PEROXYACETIC ACID",63201,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009",6800,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","REYNOUTRIA SACHALINE",55809,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","OTHER","TOTAL)",NA,15611900
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","AZOXYSTROBIN",128810,0.234
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",16482,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS SUBTILIS",6479,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BLAD",30006,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BORAX DECAHYDRATE",11102,0.042
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BOSCALID",128008,0.354
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19",6544,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CAPTAN",81301,1.693
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CYFLUFENAMID",555550,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CYPRODINIL",288202,0.316
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","DIFENOCONAZOLE",128847,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FENHEXAMID",90209,0.659
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FLUDIOXONIL",71503,0.211
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FLUOPYRAM",80302,0.119
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FLUXAPYROXAD",138009,0.161
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FOSETYL-AL",123301,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","ISOFETAMID",270000,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MEFENOXAM",113502,0.5
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MONO-POTASSIUM SALT",76416,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MYCLOBUTANIL",128857,0.105
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PENTHIOPYRAD",90112,0.271
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","POLYOXIN D ZINC SALT",230000,0.061
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PROPICONAZOLE",122101,0.112
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PYDIFLUMETOFEN",90110,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PYRACLOSTROBIN",99100,0.167
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PYRIMETHANIL",288201,0.658
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","QUINOLINE",55459,0.095
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","SULFUR",77501,5.471
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","TETRACONAZOLE",120603,0.036
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","THIOPHANATE-METHYL",102001,0.695
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","THIRAM",79801,2.201
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","TRIFLOXYSTROBIN",129112,0.119
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","TRIFLUMIZOLE",128879,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","CARFENTRAZONE-ETHYL",128712,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","FLUMIOXAZIN",129034,0.078
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","OXYFLUORFEN",111601,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","PENDIMETHALIN",108501,0.923
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ABAMECTIN",122804,0.019
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ACEQUINOCYL",6329,0.299
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ACETAMIPRID",99050,0.129
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","AZADIRACHTIN",121701,0.03
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","BEAUVERIA BASSIANA",128924,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","BIFENAZATE",586,0.5
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","BIFENTHRIN",128825,0.116
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","BT KURSTAK ABTS-1857",6523,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","BT KURSTAKI ABTS-351",6522,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","BT KURSTAKI SA-11",6519,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","CANOLA OIL",11332,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE",90100,0.063
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",16329,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","CYANTRANILIPROLE",90098,0.117
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","CYFLUMETOFEN",138831,0.178
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ETOXAZOLE",107091,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","FENBUTATIN-OXIDE",104601,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","FENPROPATHRIN",127901,0.26
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","FENPYROXIMATE",129131,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","FLONICAMID",128016,0.087
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","FLUPYRADIFURONE",122304,0.182
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","HEXYTHIAZOX",128849,0.186
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","IMIDACLOPRID",129099,0.457
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","LAMBDA-CYHALOTHRIN",128897,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","MALATHION",57701,1.807
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","METHOXYFENOZIDE",121027,0.169
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","NALED",34401,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","NEEM OIL",25006,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","NEEM OIL, CLAR. HYD.",25007,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","NOVALURON",124002,0.077
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","PIPERONYL BUTOXIDE",67501,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","PYRETHRINS",69001,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","PYRIDABEN",129105,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","SPINETORAM",110007,0.071
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","SPINOSAD",110003,0.094
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","THIAMETHOXAM",60109,0.062
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","ACIBENZOLAR-S-METHYL",61402,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","CAPSICUM OLEORESIN EXTRACT",70704,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","CHLOROPICRIN",81501,188.284
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","DICHLOROPROPENE",29001,111.391
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","FLUTRIAFOL",128940,0.114
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","GARLIC OIL",128827,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","HYDROGEN PEROXIDE",595,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","IRON PHOSPHATE",34903,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","METALDEHYDE",53001,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","METAM-POTASSIUM",39002,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","METAM-SODIUM",39003,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL","OTHER","PEROXYACETIC ACID",63201,NA
