"Year","Period","Geo Level","State","State ANSI","Data Item","Domain","Domain Category","Value"
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)",12800
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)",3300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)",2800
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)",28700
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)",4600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CANOLA OIL = 11332)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)",2000
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)",1700
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)",7600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENBUTATIN-OXIDE = 104601)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)",6600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)",6200
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)",5000
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)",5400
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)",3100
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)",19400
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)",7900
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NALED = 34401)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL = 25006)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NOVALURON = 124002)",5600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PIPERONYL BUTOXIDE = 67501)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIDABEN = 129105)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)",3800
